Variable_Name,Group,Description_CN,Original_Operability,Stage_ID,Stage_Name,Stage_Source,Signal_Class,Keep_All,Keep_xin1,Keep_xin2,Decision_Reason,Present_In_Input_Parquet
FX_LT_611,C,二次K6-1贮药箱(贮罐)液位,observable,1,药剂合成,annotated_md,process_state,keep,keep,keep,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
MC2_PET101_AI,A,1#新建强磁前浓缩机底流泵出口管道压力,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,drop,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_PET201_AI,A,1#机械澄清池底流泵出口管道压力,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,drop,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_PET202_AI,B,2#机械澄清池底流泵出口管道压力,observable,2,磁选分离,heuristic,magnetic_core_state,keep,drop,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC501_WKF2_AI,C,2#尾矿阀门实际开度反馈值,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC502_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC502_LCDY_AI,C,励磁电压值,operable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC504_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC505_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC505_XKYW_AI,C,选矿液位,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC506_LCDY_AI,C,励磁电压值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC506_WKF2_AI,C,2#尾矿阀门实际开度反馈值,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC507_LCDL_AI,C,励磁电流值,operable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC507_XKYW_AI,C,选矿液位,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC508_CKSYL_AI,C,冲矿水压力值,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC508_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC508_LCDY_AI,C,励磁电压值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC508_XKYW_AI,C,选矿液位,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC510_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC510_LCDY_AI,C,励磁电压值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC606_LCDY_AI,C,励磁电压值,operable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC606_WKF1_AI,C,1#尾矿阀门实际开度反馈值,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC606_WKF2_AI,C,2#尾矿阀门实际开度反馈值,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC607_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC607_LCDY_AI,C,励磁电压值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC607_WKF2_AI,C,2#尾矿阀门实际开度反馈值,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC608_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC609_CKSCKYL_AI,C,冲矿水出口压力值,observable,2,磁选分离,heuristic,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC609_LCDL_AI,C,励磁电流值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC609_LCDY_AI,C,励磁电压值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC610_LCDY_AI,C,励磁电压值,operable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC2_QC610_XKYW_AI,C,选矿液位,observable,2,磁选分离,annotated_md,magnetic_core_state,keep,keep,keep,专家知识将其列为磁选区核心控制/状态量。,yes
MC1_FET102_AI,C,1#三次分级旋流器给矿管道流量,operable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FET202_AI,C,2#三次分级旋流器给矿管道流量,operable,3,塔磨分级,heuristic,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FET302_AI,C,3#三次分级旋流器给矿管道流量,operable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FET402_AI,C,4#三次分级旋流器给矿管道流量,operable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FET502_AI,C,5#三次分级旋流器给矿管道流量,operable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FET503_AI,C,3#三次分级旋流器给矿泵池加水管道流量,operable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FET601_AI,C,6#三次分级旋流器沉砂加水管道流量,observable,3,塔磨分级,heuristic,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FET602_AI,C,6#三次分级旋流器给矿管道流量,operable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FV101_AO,C,1#三次分级旋流器沉砂加水管道阀位给定,observable,3,塔磨分级,heuristic,direct_control,keep,keep,keep,该变量属于可下发的控制指令或设定值，必须保留。,yes
MC1_FV201_AI,C,2#三次分级旋流器沉砂加水管道阀位反馈,observable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_FV201_AO,C,2#三次分级旋流器沉砂加水管道阀位给定,observable,3,塔磨分级,heuristic,direct_control,keep,keep,keep,该变量属于可下发的控制指令或设定值，必须保留。,yes
MC1_FV301_AO,C,3#三次分级旋流器沉砂加水管道阀位给定,observable,3,塔磨分级,heuristic,direct_control,keep,keep,keep,该变量属于可下发的控制指令或设定值，必须保留。,yes
MC1_FV501_AO,C,5#三次分级旋流器沉砂加水管道阀位给定,observable,3,塔磨分级,heuristic,direct_control,keep,keep,keep,该变量属于可下发的控制指令或设定值，必须保留。,yes
MC1_GKB709_HZ,C,9#三旋给矿泵频率反馈,observable,3,塔磨分级,heuristic,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_LET101_AI,C,1#三次分级旋流器给矿泵池液位,observable,3,塔磨分级,heuristic,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC1_LV101_AO,C,1#三次分级旋流器给矿泵池加水阀位给定,operable,3,塔磨分级,heuristic,direct_control,keep,keep,keep,该变量属于可下发的控制指令或设定值，必须保留。,yes
MC1_LV301_AO,C,2#三次分级旋流器给矿泵池加水阀位给定,operable,3,塔磨分级,heuristic,direct_control,keep,keep,keep,该变量属于可下发的控制指令或设定值，必须保留。,yes
MC2_YLB811_HZ,C,11#旋流器溢流泵频率反馈,observable,3,塔磨分级,annotated_md,grinding_classification_state,keep,keep,keep,专家知识将其列为塔磨/旋流器主回路变量。,yes
MC2_NSJ_LPYL_AI,C,落耙压力,observable,4,浓缩缓冲,heuristic,process_state,keep,keep,keep,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
MC2_NSJ_TPYL_AI,C,提耙压力,observable,4,浓缩缓冲,annotated_md,process_state,keep,keep,keep,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
FX_FT_1702,A,一系列1#-2高效高效搅拌槽入矿管道流量,observable,5,调浆激发,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_HGB2204_I,A,化工泵(输送一次CaO)2204电流反馈,observable,5,调浆激发,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LGB2401_I,A,螺杆泵(输送二次TD-II精选)2401电流反馈,observable,5,调浆激发,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LGB2403_I,A,螺杆泵(输送二次TD-II精选)2403电流反馈,observable,5,调浆激发,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_TV_1103_AO,A,一系列1#-2高效搅拌槽加蒸汽电动调节蝶阀TV-1103阀位给定信号,observable,5,调浆激发,heuristic,direct_control,keep,keep,drop,该变量属于可下发的控制指令或设定值，必须保留。,yes
FX_AT_2104,B,二系列3#-4高效搅拌槽PH值,observable,5,调浆激发,heuristic,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_FT_2701,B,二系列1#-3高效高效搅拌槽入矿管道流量,observable,5,调浆激发,annotated_md,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_FT_2702,B,二系列1#-4高效高效搅拌槽入矿管道流量,observable,5,调浆激发,annotated_md,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LGB2302_I,B,螺杆泵(输送二次TD-II粗选)2302电流反馈,observable,5,调浆激发,heuristic,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_TV_2101_AO,B,二系列1#-1高效搅拌槽加蒸汽电动调节蝶阀TV-2101阀位给定信号,observable,5,调浆激发,heuristic,direct_control,keep,drop,keep,该变量属于可下发的控制指令或设定值，必须保留。,yes
FX_HGB2201_F,C,化工泵(输送一次CaO)2201频率反馈,observable,5,调浆激发,heuristic,flotation_core_state,keep,keep,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_HGB2203_I,C,化工泵(输送一次CaO)2203电流反馈,observable,5,调浆激发,heuristic,flotation_core_state,keep,keep,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_HGB2204_F,A,化工泵(输送一次CaO)2204频率反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LGB2303_I,A,螺杆泵(输送二次TD-II粗选)2303电流反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LGB2404_F_W,A,螺杆泵(输送二次TD-II精选)2404频率给定,operable,6,浮选网络,annotated_md,direct_control,keep,keep,drop,该变量属于可下发的控制指令或设定值，必须保留。,yes
FX_LGB2701_F,A,螺杆泵(输送二次NaOH)2701频率反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LT_1603,A,一系列三扫底流泵池(给二扫)液位,observable,6,浮选网络,annotated_md,process_state,keep,keep,drop,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
FX_X1CX1_AI9,A,Ⅰ系列粗选1作业气量2实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX2_AI1,A,Ⅰ系列粗选2作业泡沫层厚度实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX2_AI5,A,Ⅰ系列粗选2作业气量1实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX2_AI6,A,Ⅰ系列粗选2作业气量1设定值显示,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX2_AI9,A,Ⅰ系列粗选2作业气量2实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX3_AI1,A,Ⅰ系列粗选3作业泡沫层厚度实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX3_AI3,A,Ⅰ系列粗选3作业液位阀1开度实际值,observable,6,浮选网络,heuristic,process_state,keep,keep,drop,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
FX_X1CX3_AI5,A,Ⅰ系列粗选3作业气量1实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX3_AI6,A,Ⅰ系列粗选3作业气量1设定值显示,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1CX3_AI9,A,Ⅰ系列粗选3作业气量2实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1JX_AI1,A,Ⅰ系列精选作业泡沫层厚度实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1JX_AI15,A,Ⅰ系列精选作业气量3设定值显示,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1JX_AI3,A,Ⅰ系列精选作业液位阀1开度实际值,observable,6,浮选网络,annotated_md,process_state,keep,keep,drop,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
FX_X1JX_AI9,A,Ⅰ系列精选作业气量2实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1SX1_AI11,A,Ⅰ系列扫选1作业气量2设定值显示,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1SX1_AI13,A,Ⅰ系列扫选1作业气量3实际值,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1SX1_AI5,A,Ⅰ系列扫选1作业气量1实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1SX2_AI3,A,Ⅰ系列扫选2作业液位阀1开度实际值,observable,6,浮选网络,heuristic,process_state,keep,keep,drop,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
FX_X1SX2_AI5,A,Ⅰ系列扫选2作业气量1实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1SX2_AI9,A,Ⅰ系列扫选2作业气量2实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1SX3_AI12,A,Ⅰ系列扫选3作业蝶阀2开度设定值显示,observable,6,浮选网络,annotated_md,direct_control,keep,keep,drop,该变量属于可下发的控制指令或设定值，必须保留。,yes
FX_X1SX3_AI4,A,Ⅰ系列扫选3作业液位阀1开度设定显示,observable,6,浮选网络,heuristic,direct_control,keep,keep,drop,该变量属于可下发的控制指令或设定值，必须保留。,yes
FX_X1SX3_AI5,A,Ⅰ系列扫选3作业气量1实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_X1SX3_AI9,A,Ⅰ系列扫选3作业气量2实际值,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1101_F,A,渣浆泵(粗选给矿泵)1101频率反馈,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1101_I,A,渣浆泵(粗选给矿泵)1101电流反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1104_I,A,渣浆泵(粗选给矿泵)1104电流反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1201_F,A,渣浆泵(一扫给矿泵)1201频率反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1201_I,A,渣浆泵(一扫给矿泵)1201电流反馈,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1202_I,A,渣浆泵(一扫给矿泵)1202电流反馈,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1303_F,A,渣浆泵(二扫给矿泵)1303频率反馈,observable,6,浮选网络,heuristic,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1303_I,A,渣浆泵(二扫给矿泵)1303电流反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1304_F,A,渣浆泵(二扫给矿泵)1304频率反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_ZJB1304_I,A,渣浆泵(二扫给矿泵)1304电流反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,keep,drop,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_DT_2602,B,粗选给矿泵1104出口管道浓度,observable,6,浮选网络,annotated_md,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_FT_2601,B,二系列粗选给矿泵1101出口管道流量,operable,6,浮选网络,annotated_md,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_FT_2602,B,二系列粗选给矿泵1102出口管道流量,operable,6,浮选网络,annotated_md,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LGB2502_F,B,螺杆泵(输送二次K6-1粗选)2502频率反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LGB2602_F,B,螺杆泵(输送二次K6-1一扫)2602频率反馈,observable,6,浮选网络,annotated_md,flotation_core_state,keep,drop,keep,专家知识将其列为浮选回路关键状态/加药/气量变量。,yes
FX_LT_2603,B,二系列三扫底流泵池(给二扫)液位,observable,6,浮选网络,annotated_md,process_state,keep,drop,keep,该变量直接表征矿浆流态、药剂环境或分选状态，建议保留。,yes
